Experiment,Model,Input File,precision_child,f1_child,recall_child,precision_father,f1_father,recall_father,precision_followed_by,f1_followed_by,recall_followed_by,precision_follows,f1_follows,recall_follows,precision_has_part,f1_has_part,recall_has_part,precision_mother,f1_mother,recall_mother,precision_part_of,recall_part_of,f1_part_of,precision_other,f1_other,recall_other
original,flan-t5-xl,report_head_tail_templates_with_desc_1.json,0.397125567322239,0.45454545454545453,0.5313765182186235,0.3005181347150259,0.24242424242424243,0.2031523642732049,0.4794188861985472,0.42996742671009774,0.38976377952755903,0.4735945485519591,0.5148148148148148,0.563894523326572,0.0,0.0,0.0,0.4763231197771588,0.391304347826087,0.3320388349514563,0.46417445482866043,0.9802631578947368,0.6300211416490487,,,
original,flan-t5-xl,report_head_tail_templates_without_desc_1.json,0.36583679114799444,0.43467543138866066,0.5354251012145749,0.25,0.1946524064171123,0.159369527145359,0.49866310160427807,0.5939490445859873,0.734251968503937,0.46502057613168724,0.3070652173913043,0.22920892494929007,0.3333333333333333,0.03278688524590164,0.017241379310344827,0.296,0.1934640522875817,0.1436893203883495,0.4605678233438486,0.9605263157894737,0.6226012793176973,,,
original,flan-t5-xl,report_tail_head_templates_with_desc_1.json,0.6104166666666667,0.6959619952494062,0.8093922651933702,0.7514285714285714,0.5637727759914255,0.451114922813036,0.6296296296296297,0.5881081081081081,0.5517241379310345,0.6115992970123023,0.6462395543175488,0.6850393700787402,0.0,0.0,0.0,0.5740072202166066,0.4662756598240469,0.3925925925925926,0.5323076923076923,0.9942528735632183,0.6933867735470942,,,
original,flan-t5-xl,report_tail_head_templates_without_desc_1.json,0.6318373071528752,0.7173566878980892,0.8296500920810314,0.7472527472527473,0.5744456177402323,0.4665523156089194,0.5091623036649214,0.6189339697692919,0.7890466531440162,0.5589519650655022,0.3473541383989145,0.25196850393700787,0.9,0.1111111111111111,0.05921052631578947,0.6704119850187266,0.5327380952380952,0.4419753086419753,0.5474683544303798,0.9942528735632183,0.7061224489795919,,,
original,Llama-3.1-8B-Instruct,report_head_tail_templates_with_desc_1.json,0.5815126050420169,0.43714466203411245,0.35020242914979755,0.551462621885157,0.6813922356091031,0.8914185639229422,0.6856540084388185,0.6619144602851323,0.639763779527559,0.6527514231499051,0.6745098039215687,0.6977687626774848,0.34210526315789475,0.3880597014925373,0.4482758620689655,0.5927272727272728,0.612206572769953,0.6330097087378641,0.02040816326530612,0.013157894736842105,0.016,,,
original,Llama-3.1-8B-Instruct,report_head_tail_templates_without_desc_1.json,0.2736220472440945,0.1858288770053476,0.14068825910931174,0.4335981838819523,0.5261707988980716,0.6690017513134852,0.5468564650059312,0.6824574389341229,0.90748031496063,0.7006369426751592,0.3384615384615385,0.2231237322515213,0.05555555555555555,0.010416666666666666,0.005747126436781609,0.48892171344165436,0.5553691275167785,0.6427184466019418,0.4383116883116883,0.8881578947368421,0.5869565217391305,,,
original,Llama-3.1-8B-Instruct,report_tail_head_templates_with_desc_1.json,0.3982608695652174,0.275737507525587,0.21086556169429096,0.45091693635382957,0.5536423841059602,0.7169811320754716,0.3595505617977528,0.3411513859275053,0.32454361054766734,0.4010791366906475,0.4191729323308271,0.4389763779527559,0.6593886462882096,0.7926509186351706,0.993421052631579,0.38761061946902653,0.4515463917525773,0.5407407407407407,0.9896907216494846,0.5517241379310345,0.7084870848708487,,,
original,Llama-3.1-8B-Instruct,report_tail_head_templates_without_desc_1.json,0.69593147751606,0.41854475209272374,0.2992633517495396,0.5540691192865106,0.6716216216216216,0.8524871355060034,0.456242707117853,0.5792592592592593,0.7931034482758621,0.2916666666666667,0.12883435582822086,0.08267716535433071,1.0,0.21176470588235294,0.11842105263157894,0.4907539118065434,0.6227436823104693,0.8518518518518519,0.564935064935065,1.0,0.7219917012448133,,,
original,Qwen2.5-7B-Instruct,report_head_tail_templates_with_desc_1.json,0.45719489981785066,0.4813039309683605,0.5080971659919028,0.36330935251798563,0.23792697290930506,0.17688266199649738,0.2897822445561139,0.31312217194570136,0.3405511811023622,0.0970873786407767,0.07481296758104738,0.060851926977687626,0.5384615384615384,0.4028776978417266,0.3218390804597701,0.4766355140186916,0.27983539094650206,0.19805825242718447,0.6,0.23684210526315788,0.33962264150943394,,,
original,Qwen2.5-7B-Instruct,report_head_tail_templates_without_desc_1.json,0.3511627906976744,0.3268398268398268,0.305668016194332,0.3333333333333333,0.17357512953367876,0.11733800350262696,0.8190184049079755,0.6402877697841727,0.5255905511811023,0.8904109589041096,0.6624203821656051,0.5273833671399595,0.3333333333333333,0.08080808080808081,0.04597701149425287,0.4166666666666667,0.19374068554396423,0.1262135922330097,0.42408376963350786,0.5328947368421053,0.47230320699708456,,,
